I have a headache.	Masakit ulo ko.
Others live in mollusks or water that are acidic and others are found in mollusks where they serve as parasites in them.	Naninirahan ang iba sa mga putik o tubig na parating may asido at ang iba ay makikita sa mollusks na kung saan sila ay nagsisilbing parasitiko sa kanila.
A member of this group is Treponema which causes syphilis, and yaws.	Isang miyembro ng pangkat na ito ang Treponema na kung saan ay nagsasanhi ng syphilis, at yaws.
Circle and Kurbang Bacteria This is the sixth part of the bacteria containing a family, Spirillaceae, two genera, Spirillum and Campylobacter and four genera unknown apillations, Bdellovibrio, Microcyclus, Pelosigma and Braqchyarcus.	Bilog at Kurbang Bakterya Ito ang ika-anim na bahagi ng bakterya na naglalaman ng isang pamilya, ang Spirillaceae, dalawang genera, ang Spirillum at Campylobacter at apat na henera na hindi kilala ang apilasyon, ang Bdellovibrio, Microcyclus, Pelosigma at Braqchyarcus.
Aerobic Negative Bacteria This is the seventh part of the bacteria that includes some important generators such as Rhizobium.	Aerobikong Negatibong Bakterya Ito ang ikapitong bahagi ng bakterya na kinabibilangan ng ilang importanteng henera tulad ng Rhizobium.
It is used to regulate the nitrogen of legumes which has a great role in the economy.	Ito ay ginagamit upang ayusin ang nitroheno ng mga legume na lubhang may malaking ginagampanan sa ekonomiya.
It also produces acetic acid used in producing vinegar.	Ito rin ay naglalabas ng mga asidong asetik na ginagamit sa paggawa ng suka.
Their cells are surrounded by chains that intermediate their cell walls.	Napapalibutan ang kanilang selula ng mga kadena na pumapagitna sa kanilang pader ng selula.
They have lowered their wedge to the terminal of the cell which contained protein, multiple sakaride (polysaccharide), and lipids.	Nakababa naman ang kanilang balot sa terminal ng selula na kung saan ay naglalaman ng protina, maramihang sakaride (polysaccharide), at mga lipido.
Other negative bacteria, Gram, produce some slime coating, called capsule, around the cell.	Naglalabas naman ang ibang negatibong bakterya ayon kay Gram ng ilang patong na slime, na tinatawag na capsule, sa palibot ng selula.
An example of this is the Caulobacter.	Isang halimbawa nito ay ang mga Caulobacter.
They are coiled with substrate cells.	Sila ay nakapulupot sa pinaghuhugutan ng selula ng substrano.
Negative Negative Bacteria The Negative Bakteria or known as Enteric Bacteria is the eighth bacteria.	Pakultatibong Negatibong Bakterya Ang Pakultatibong Negatibong Bakterya o kilala bilang Enterikong Bakterya ay ang ikawalong bahagi ng mga bakterya.
One example of this part is the Escherichia coli found in our intestines.	Isang halimbawa ng bahaging ito ay ang Escherichia coli na makikita sa ating bituka.
Salmonella causes typhoid and food poisoning, Shigella causing bacterial dysfunction, Erwinia causing five blight and Yersinia known to initiate bubonic plague are just some examples of this part.	Ang Salmonella na nagsasanhi ng typhoid at pagkalason sa pagkain, Shigella na nagsasanhi ng disenteryang bakteryal, Erwinia na nagsasanhi ng five blight at Yersinia na kilalang nagpapasimula ng bubonic plague ay ilan lamang sa halimbawa ng bahaging ito.
Anaerobic Negative Bacteria This is the ninth part of the bacteria containing a family, Bacteroidaceae, three genera, Bacteroides, Fusobacterium and Leptotrichia, and six genera unknown to the apillation, Desulfovibrio, Butyrivibrio, Succinivibrio, Succinimonas, Lachnospira and Selenomonas.	Anaerobikong Negatibong Bakterya Ito ang ikasiyam na bahagi ng bakterya na naglalaman ng isang pamilya, ang Bacteroidaceae, tatlong henera, ang Bacteroides, Fusobacterium at Leptotrichia, at anim na henera na hindi malaman ang apilasyon, ang Desulfovibrio, Butyrivibrio, Succinivibrio, Succinimonas, Lachnospira at Selenomonas.
Additive Negative Bacteria Negative bacterial bubbles are the tenth part of the bacteria containing a family, Neisseriaceae, four genera, Neisseria, Branhamella, Maraxella and Acinetobacter, and two genera that do not know their apathy, Paracoccus and Lampropedia.	Bilugang Negatibong Bakterya Ang mga bilugang negatibong bakterya ay ang ikasampung bahagi ng bakterya na naglalaman ng isang pamilya, ang Neisseriaceae, apat na henera, Neisseria, Branhamella, Maraxella at Acinetobacter, at dalawang henera na hindi malaman ang kanilang apilasyon, ang Paracoccus at Lampropedia.
Anaerobic Additive Negative Bacteria It contains a guillotine, Veillonellaceae, and three genera, Veillonella, Acidaminococcus and Megasphaera.	Anaerobikong Bilugang Negatibong Bakterya Ito ay naglalaman ng isang pamliya, ang Veillonellaceae, at tatlong henera, ang Veillonella, Acidaminococcus at Megasphaera.
Negative Bakolitotropic Bacteria Negative bacterial chemopitrophils are two-way bacteria.	Kemolitotropikong Negatibong Bakterya Ang mga kemolitotropikong negatibong bakterya ay ang iakalabing-dalawang bahagi ng bakterya.
This part is very important in our nutritional cycles in our biosphere.	Napakahalaga ng bahaging ito sa siklo ng sustansiya sa ating biyospero.
They can be found in lands and water, like hot water.	Makikita sila sa mga lupa at tubig, tulad ng mga maiinit na tubig.
Circles, rods and spiral are usually the shape of these bacteria.	Bilog, rod at spiral ang kadalasang hugis ng mga bakteryang ito.
These bacteria are moving through their flagella and others are slipping.	Gumagalaw ang mga bakteryang ito sa pamamagitan ng kanilang flagella at ang ibang ay dumadausdos.
The flaps of their Plasmalemma are outside.	Nasa labas ang tupi ng kanilang Plasmalemma.
There are four groups based on their oxygen-dependent reactions that their energy, the nitrogen, sulfur, iron, and hydrogen bacteria.	Mayroong itong apat na pangkat na nababatay sa kanilang reaksiyon sa oksiheno na napapatunayan ng kanilang enerhiya, ang mga bakteryang nitroheno, sulfur, bakal, at hidroheno.
Metohino Outlet Bakery This group contains a family, Methanobacteriaceae and 3 genera, Methanobacterium, Methanosarcina, and Methanococcus.	Bakteryang Tagalabas ng Metohino Naglalaman ang pangkat na ito ng isang pamilya, ang Methanobacteriaceae at 3 henera, ang Methanobacterium, Methanosarcina, at Methanococcus.
Additionally, it is the fourteenth part of the bacteria composed of three families, Micrococcaceae, Streptococcaceae, and Peptococcaceae, and twelve genera, Micrococcus, Staphylococcus, Planococcus, Streptococcus, Leuconostoc, Pediococcus, Aerococcus, Gemella, Peptococcus, Peptostreptococcus, Ruminococcus, and Sarcina.	Bilugang Positibong Bakterya Ito ang ikalabing apat na bahagi ng bakteyra na binubuo ng tatlong pamilya, ang Micrococcaceae, Streptococcaceae, at Peptococcaceae, at labingdalawang henera, ang Micrococcus, Staphylococcus, Planococcus, Streptococcus, Leuconostoc, Pediococcus, Aerococcus, Gemella, Peptococcus, Peptostreptococcus, Ruminococcus, at Sarcina.
Increase Positive Bacteria Generator of Endospore This is the fifteenth part of the bacteria that can be found in the soil.	Bilugang Positibong Bakterya na Tagabuo ng mga Endospore Ito ay ang ikalabinglimang bahagi ng bakterya na makikita kadasalan sa mga lupa.
If the soil contains Clostridium which enters human wounds, it can cause tetanus or gangremes.	Kung ang lupa ay naglalaman ng Clostridium na kung saan ay pumapasok sa mga sugat ng tao, maaari itong magsanhi ng tetanus o gangremes.
Clostridium can also be found in vegetables such as corn and peanuts.	Makikita rin ang mga Clostridium sa mga gulay tulad mais at mani.
If Clostridium botulinum is not killed in the clogging process, it grows and increases in tin products that can release toxic substances.	Kung ang Clostridium botulinum ay hindi napapatay sa proseso ng paglalata, lumalaki at dumadami ito sa mga produktong lata na makakapaglabas ng mga nakakalason na bagay.
Often, they are rarely poisonous to the toxic from it.	Kadalasan, bihira namang malason ang mga ito sa mga toksik galing dito.
Commercial glitches kill all spores.	Nakakapatay ang mga commercial na paglalata sa lahat ng mga spores.
So some bacteria in this area affect people completely.	Kaya ang ilang bakterya sa bahaging ito ay nakakaapekto ng lubusan sa mga tao.
Aspectual Positive Shape Bacteria The aspirative negative-shaped rod bacteria are the sixteenth part of the bacteria containing a family, the Lactobacillaceae, and one genera, the Lactobacillus known for extending the life of commercially milk, and a name unknown to the apical, Listeria.	Asporohenong Positibong Hugis Rod na Bakterya Ang mga asporohenong negatibing hugis rod na bakterya ay ang ikalabing anim na bahagi ng bakterya na naglalaman ng isang pamilya, ang Lactobacillaceae, at isang henera, ang Lactobacillus na kilala sa pagpapahaba ng buhay ng mga pangkalakalan (commercial) na gatas, at isang henera na hindi kilala ang apilasyon, ang Listeria.
Actinomycete Actinomycetes are a positive bacteria that categorizes as the seventeenth part of the bacteria that make up various types of molds and fungi.	Actinomycete Ang mga actinomycete ay isang positibong bakterya na ikinakategorya bilang ikalabing pitong bahagi ng bakterya na bumubuo sa ibat ibang uri ng mga molde at fungi.
Cells are growing and dividing into long periods of time sharing and coupling with a colony.	Lumalaki at nahahati ang mga selula sa mahahabang pilamento na bumabahagi at bumabalukto sa isang kolonya.
Leaves spores, usually endospores or spores within the cell, the last part of the sperm.	Naglalabas ng mga spores, na kadalasan ay mga endospores o mga spores sa loob ng selula, ang hulihang bahagi ng pilamento.
It often causes soil moisture and waste from which organisms come from.	Kadalasan itong nagsasanhi ng pagpapaamoy ng lupa at mga basura na kung saan galing ang mga organismo.
In medicine, this is the most important source of antibiotics.	Sa medisina, ito ay ang pinakaimportanteng pinagkukuhanan ng antibiyotiko.
Rickettsia Rickettsia is the eighth part of the bacteria.	Rickettsia Ang rickettsia ay ang ikalabing walong bahagi ng mga bakterya.
They are a negatively, short-circuited and bacterial parasite that are bound to be parasitic and can not be revived in a deadly media.	Sila ay isang negatibo, maiikli at bilugang bakterya na obligadong parasitiko at hindi maaaring buhayin sa isang patay na medya.
They cause Rocky Mountain Spotted Fever, Q Fever and Scrub typhus in humans, and have insect syndromes that absorb water in plants.	Nagsasanhi sila ng Rocky Mountain Spotted Fever, Q Fever at Scrub typhus sa mga tao, at pagkakaroon ng sindrom sa mga insekto na sumipsip ng tubig sa mga halaman.
Fortunately, only aphids can be found in the plant.	Halibawa, makikita lamang ang mga aphids sa halaman.
These organisms were discovered in 1970 in dolden, a parasitic area.	Natuklasan ang mga organismong ito noong 1970 sa dolden, isang parasitikong lugar.
In 1880, Pierce had a serious and mysterious illness of grapes.	Noong 1880, hindi pa gaanong malaman ang isang seryoso at misteryosong sakit ang Pierce ng mga ubas.
It was first described by Pierce in 1880 and he provided a bacterial relationship with this disease.	Una itong inilarawan ni Pierce noong 1880 at nagbigay siya ng suwesyon na may relasyon ang bakterya sa sakit na ito.
