English	Filipino
for Titus! That was a short-lived book! It.	para kay Titus! Iyon ay aklat na hindi nagtagal! Ito ay para basahin ng bawat pastor.
If October 25 is Saturday,.	Kung Sabado ang ika-dalawampu't lima ng Oktubre,.
He has been winning for thirty-two months at the next police station.	tatlumpu't-dalawang buwan na siyang nananalo sa susunod na estasyon ng pulis.
He sold his guitar last November 17.	Binenta niya ang kanyang gitara noong ika-labinpito ng Nobyembre.
how he made a great image and they had to.	kung paano siya gumawa ng malaking imahe at kinailangang sila ay sumamba sa.
going to be weeping.	ay iiyak.
October 23 is the day of his death.	Sa ika-dalawampu't tatlo ng Oktubre ang araw ng kanyang kamatayan.
Are you going to the bus station later at 11:00 AM.	Pupunta ka ba sa alas onse ng umaga mamayang estasyon ng bus.
Are you going to the train station later at 1:00 PM.	Pupunta ka ba sa ala una ng hapon mamayang estasyon ng tren.
Noon of October 7.	Tanghali ng ika-pito ng Oktubre.
Morning of December 26.	Umaga ng ika-dalawampu't anim ng Disyembre.
September 2 is the day of his death.	Sa ika-dalawa ng Septyembre ang araw ng kanyang kamatayan.
It is October 17 when.	ika-labinpito ng Oktubre noon nung.
December 19 is Monday.	Ang ika-labingsiyam ng Disyembre ay Lunes.
to the uttermost part of heaven.	hanggang sa dulo ng langit iyon ay sinasabi niya sa mga Hudyo lamang.
Let’s meet on September 26.	Magkita tayo sa ika-dalawampu't anim ng Septyembre.
He will sell his guitar on September 4.	Ibebenta niya ang kanyang gitara sa ika-apat ng Septyembre.
Today is November 1.	Ngayon ay ika-isa ng Nobyembre.
Let’s meet on November 6.	Magkita tayo sa ika-anim ng Nobyembre.
From 4:00 AM to 10:00 AM.	Simula nang alas kwatro ng umaga hanggang alas diyes ng umaga.
From 12:30 PM to 10:00 AM.	Simula nang Alas dose e medya ng hapon hanggang alas diyes ng umaga.
and you will be saved.	at maliligtas kayo.
Noon of October 20.	Tanghali ng ika-dalawampu ng Oktubre.
He lost his money last November 19.	Nawala niya noong ika-labingsiyam ng Nobyembre ang kanyang pera.
And on that chip.	At sa chip na yan.
It has been eight years since I have salads.	walong taon nang akong merong ensalada.
Morning of September 19.	Umaga ng ika-labingsiyam ng Septyembre.
Morning of November 20.	Umaga ng ika-dalawampu ng Nobyembre.
November 28 is Monday.	Ang ika-dalawampu't walo ng Nobyembre ay Lunes.
Is September 28 Friday.	Biyernes ba sa ika-dalawampu't walo ng Septyembre.
He lost his money last November 1.	Nawala niya noong ika-isa ng Nobyembre ang kanyang pera.
will not go through the tribulation.	hindi dadaan sa kapighatian.
December 3 is the day of his death.	Sa ika-tatlo ng Disyembre ang araw ng kanyang kamatayan.
He lost his money last November 7.	Nawala niya noong ika-pito ng Nobyembre ang kanyang pera.
It has been forty hours since I have lunch.	apatnapung oras nang akong merong tanghalian.
Today is October 30.	Ngayon ay ika-tatlumpu ng Oktubre.
It rained really hard last September 14.	Umulan ng malakas noong ika-labing-apat ng Septyembre.
If you are buying twenty times in twenty years,.	Kung bumibili ka ng dalawampung beses sa dalawampung taon,.
It's already October 29!.	ika-dalawampu't siyam na ng Oktubre!.
gave him his power.	ang kaniyang kapangyarihan.
I wish tomorrow will be October 17.	Sana ika-labinpito na ng Oktubre bukas.
I wish tomorrow will be September 13.	Sana ika-labintatlo na ng Septyembre bukas.
It will be November 23 next week.	ika-dalawampu't tatlo na ng Nobyembre sa susunod na linggo.
It's already October 23!.	ika-dalawampu't tatlo na ng Oktubre!.
He will go here on September 6.	Pupunta siya dito sa ika-anim ng Septyembre.
From 6:00 PM to 1:00 PM.	Simula nang alas sais ng hapon hanggang ala una ng hapon.
Noon of November 4.	Tanghali ng ika-apat ng Nobyembre.
Tomorrow will be October 5.	ika-lima ng Oktubre bukas.
He sold his guitar last October 22.	Binenta niya ang kanyang gitara noong ika-dalawampu't dalawa ng Oktubre.
It rained really hard last December 22.	Umulan ng malakas noong ika-dalawampu't dalawa ng Disyembre.
It is September 7 when.	ika-pito ng Septyembre noon nung.
It's sunny all month long except last November 12.	Umaraw buong buwan maliban noong ika-labindalawa ng Nobyembre.
It will be September 21 next week.	ika-dalawampu't isa na ng Septyembre sa susunod na linggo.
Did it rain last October 10.	Umulan ba noong ika-sampu ng Oktubre.
He lost his money last November 30.	Nawala niya noong ika-tatlumpu ng Nobyembre ang kanyang pera.
He lost his money last September 12.	Nawala niya noong ika-labindalawa ng Septyembre ang kanyang pera.
Morning of October 14.	Umaga ng ika-labing-apat ng Oktubre.
He will write a book until October 27.	Magsusulat siya ng libro hanggang sa ika-dalawampu't pito ng Oktubre.
If you are tarrying three times in three hours,.	Kung tumatambay ka ng tatlong beses sa tatlong oras,.
They fought last September 14 because of money.	Nag-away sila noong ika-labing-apat ng Septyembre dahil sa pera.
It's already October 15!.	ika-labinlima na ng Oktubre!.
November 12 is Monday.	Ang ika-labindalawa ng Nobyembre ay Lunes.
It rained really hard last October 24.	Umulan ng malakas noong ika-dalawampu't apat ng Oktubre.
It is September 15 when.	ika-labinlima ng Septyembre noon nung.
Festival will only last until September 29.	Hanggang sa ika-dalawampu't siyam nalang ng Septyembre ang piyesta.
He lost his money last September 7.	Nawala niya noong ika-pito ng Septyembre ang kanyang pera.
They fought last October 10 because of money.	Nag-away sila noong ika-sampu ng Oktubre dahil sa pera.
If you are standing eighteen times in eighteen minutes,.	Kung tumatayo ka ng labing-walong beses sa labing-walong minuto,.
September 25 is Wednesday.	Ang ika-dalawampu't lima ng Septyembre ay Miyerkules.
Tomorrow will be September 2.	ika-dalawa ng Septyembre bukas.
It's not based on the Bible.	Ito ay base sa Bibliya.
November 14 is Thursday.	Ang ika-labing-apat ng Nobyembre ay Huwebes.
(Revelation 6:13) And the stars of heaven.	(Rebelasyon 6:13) At ang mga bituin sa langit ay nangahulog sa lupa.
Are you going to the next post office later at 6:00 AM.	Pupunta ka ba sa alas sais ng umaga mamayang susunod na padalahan ng sulat.
December 19 is Thursday.	Ang ika-labingsiyam ng Disyembre ay Huwebes.
December 3 is Thursday.	Ang ika-tatlo ng Disyembre ay Huwebes.
November 16 is the day of his death.	Sa ika-labing-anim ng Nobyembre ang araw ng kanyang kamatayan.
Are you going to the grocery later at 7:30 PM.	Pupunta ka ba sa alas siyete e medya ng gabi mamayang tindahan.
November 6 is Monday.	Ang ika-anim ng Nobyembre ay Lunes.
Tomorrow will be November 28.	ika-dalawampu't walo ng Nobyembre bukas.
It is October 28 when.	ika-dalawampu't walo ng Oktubre noon nung.
He sold his guitar last September 22.	Binenta niya ang kanyang gitara noong ika-dalawampu't dalawa ng Septyembre.
It's already December 7!.	ika-pito na ng Disyembre!.
Today is October 26.	Ngayon ay ika-dalawampu't anim ng Oktubre.
If you are winning sixty times in sixty months,.	Kung nananalo ka ng animnapung beses sa animnapung buwan,.
At 1:00 PM, there are eighty chopsticks at the bus station.	Merong walumpung chopsticks sa estasyon ng bus kaninang ala una ng hapon.
has endorsed the messenger before him and.	ay nageendorso ng sugong nauna sa kanya at nagbibigay ng masayang balita tungkol sa susunod na sugo.
They fought last October 28 because of money.	Nag-away sila noong ika-dalawampu't walo ng Oktubre dahil sa pera.
Afternoon of September 4.	Hapon ng ika-apat ng Septyembre.
If you are losing thirty-three times in thirty-three minutes,.	Kung natatalo ka ng tatlumpu't-tatlong beses sa tatlumpu't-tatlong minuto,.
this preaching.	sa pangangaral na ito.
He has been losing for nineteen years at the next post office.	labing-siyam na taon na siyang natatalo sa susunod na padalahan ng sulat.
Do you see what I mean The antichrist is.	Nakikita ba ninyo ang ibig kong sabihin Ang antikristo ay isang lalaki na umaangking siya ang ikalawang pagdating.
If it's not yet September 30,.	Kung hindi pa ika-tatlumpu ng Septyembre,.
He's planning to buy a bed before December 7.	Balak niyang bumili ng higaan bago mag ika-pito ng Disyembre.
Are you going to the next park later at 8:00 PM.	Pupunta ka ba sa alas otso ng gabi mamayang susunod na parke.
Is October 15 Friday.	Biyernes ba sa ika-labinlima ng Oktubre.
December 2 is Wednesday.	Ang ika-dalawa ng Disyembre ay Miyerkules.
Go here on November 25.	Pumunta ka dito sa ika-dalawampu't lima ng Nobyembre.
He will go here on September 8.	Pupunta siya dito sa ika-siyam ng Septyembre.
Afternoon of September 22.	Hapon ng ika-dalawampu't dalawa ng Septyembre.
They fought last October 21 because of money.	Nag-away sila noong ika-dalawampu't isa ng Oktubre dahil sa pera.
It has been ninety months since I have shellfish.	siyamnapung buwan nang akong merong kabibe.
It's sunny all month long except last September 17.	Umaraw buong buwan maliban noong ika-labinpito ng Septyembre.
Morning of November 19.	Umaga ng ika-labingsiyam ng Nobyembre.
It's sunny all month long except last November 16.	Umaraw buong buwan maliban noong ika-labing-anim ng Nobyembre.
Lamb slain from the foundation of the world.	Cordero na pinatay buhat nang itatag ang sanglibutan.
Pastor Jimenez: When you look at the historical.	Pastor Jimenez: Kung titignan mo ang mga pangyayari sa kasaysayan.
because that's the only thing that they.	ay dahil sa iyon lang ang kaya nilang hanapin sa aklat ng Rebelasyon bago.
They fought last September 27 because of money.	Nag-away sila noong ika-dalawampu't pito ng Septyembre dahil sa pera.
September 21 is Thursday.	Ang ika-dalawampu't isa ng Septyembre ay Huwebes.
It will be October 28 next week.	ika-dalawampu't walo na ng Oktubre sa susunod na linggo.
November 16 is Monday.	Ang ika-labing-anim ng Nobyembre ay Lunes.
Today is October 24.	Ngayon ay ika-dalawampu't apat ng Oktubre.
It rained really hard last December 18.	Umulan ng malakas noong ika-labinwalo ng Disyembre.
Yesterday is October 17.	Kahapon ay ika-labinpito ng Oktubre.
Did it rain last December 30.	Umulan ba noong ika-tatlumpu ng Disyembre.
It's sunny all month long except last November 7.	Umaraw buong buwan maliban noong ika-pito ng Nobyembre.
Pastor Anderson: This is one of the tools.	Pastor Anderson: Ito ang isa sa mga kasangkapan ni Satanas na gamit upang usigin ang mga mananampalataya.
Go here on November 30.	Pumunta ka dito sa ika-tatlumpu ng Nobyembre.
Pastor Anderson: And yet people will still.	Pastor Anderson: Subalit ang mga tao ay bubuwelta pa rin at sasabihin.
They fought last October 30 because of money.	Nag-away sila noong ika-tatlumpu ng Oktubre dahil sa pera.
Noon of September 4.	Tanghali ng ika-apat ng Septyembre.
He lost his money last September 21.	Nawala niya noong ika-dalawampu't isa ng Septyembre ang kanyang pera.
It has been eighteen months since I have silver.	labing-walong buwan nang akong merong pilak.
It's already November 25!.	ika-dalawampu't lima na ng Nobyembre!.
It has been nineteen minutes since I have cotton.	labing-siyam na minuto nang akong merong bulak.
It's already December 8!.	ika-siyam na ng Disyembre!.
He has been selling for twenty-five days at the next police station.	dalawampu't-limang araw na siyang nagbebenta sa susunod na estasyon ng pulis.
He will write a book until September 4.	Magsusulat siya ng libro hanggang sa ika-apat ng Septyembre.
He lost his money last October 14.	Nawala niya noong ika-labing-apat ng Oktubre ang kanyang pera.
Pastor Anderson: So if you get the context.	Pastor Anderson: Kaya kung nakuha ninyo ang konteksto.
If September 6 is Saturday,.	Kung Sabado ang ika-anim ng Septyembre,.
He's planning to buy a bed before September 30.	Balak niyang bumili ng higaan bago mag ika-tatlumpu ng Septyembre.
It is October 7 when.	ika-pito ng Oktubre noon nung.
It is October 11 when.	ika-labing-isa ng Oktubre noon nung.
They fought last October 3 because of money.	Nag-away sila noong ika-tatlo ng Oktubre dahil sa pera.
Are you going to the next police station later at 1:00 PM.	Pupunta ka ba sa ala una ng hapon mamayang susunod na estasyon ng pulis.
September 27 is the day of his death.	Sa ika-dalawampu't pito ng Septyembre ang araw ng kanyang kamatayan.
words just burned into my mind from Matthew.	salitang ay nasunog sa aking isipan galing sa Mateo.
Let’s meet on October 17.	Magkita tayo sa ika-labinpito ng Oktubre.
go through it as believers.	dadaan doon bilang mga mananampalataya.
Tomorrow will be November 17.	ika-labinpito ng Nobyembre bukas.
of speed and convenience.	ng bilis at kaginhawahan.
Morning of October 3.	Umaga ng ika-tatlo ng Oktubre.
is real clear.	ay tunay na malinaw.
Festival will only last until October 17.	Hanggang sa ika-labinpito nalang ng Oktubre ang piyesta.
Festival will only last until November 5.	Hanggang sa ika-lima nalang ng Nobyembre ang piyesta.
Noon of September 6.	Tanghali ng ika-anim ng Septyembre.
They fought last September 15 because of money.	Nag-away sila noong ika-labinlima ng Septyembre dahil sa pera.
Noon of December 25.	Tanghali ng ika-dalawampu't lima ng Disyembre.
December 28 will be Sunday because.	Linggo ang ika-dalawampu't walo ng Disyembre dahil.
Go here on November 17.	Pumunta ka dito sa ika-labinpito ng Nobyembre.
It has been seventeen months since I have eleven.	labing-pitong buwan nang akong merong labing-isang.
in preparation for the antichrist.	bilang paghahanda para sa anti-kristo.
wound was healed: and all the world wondered.	na sugat ay gumaling: at ang buong lupay nanggilalas sa hayop.
Tomorrow will be October 3.	ika-tatlo ng Oktubre bukas.
Morning of November 27.	Umaga ng ika-dalawampu't pito ng Nobyembre.
mark of the beast.	Marcos ng hayop.
Festival will only last until October 8.	Hanggang sa ika-siyam nalang ng Oktubre ang piyesta.
December 22 is the day of his death.	Sa ika-dalawampu't dalawa ng Disyembre ang araw ng kanyang kamatayan.
everyone on the earth will worship him whose.	lahat sa lupa ay sasambahin siya na ang mga pangalan ay hindi nakasulat sa aklat ng buhay.
December 19 will be Sunday because.	Linggo ang ika-labingsiyam ng Disyembre dahil.
November 29 is Tuesday.	Ang ika-dalawampu't siyam ng Nobyembre ay Martes.
It has been forty-seven years since I have shoes.	apatnapu't-pitong taon nang akong merong sapatos.
It has been forty-seven years since I have shoes.	apatnapu't-pitong taon nang akong merong sapatos.
I'll be working all day tomorrow.	ako'y magta-trabaho buong araw bukas.
1st day of August.	ika-1 araw ng Agosto.
I got tickets yesterday.	bumili ako ng tickets kahapon.
Your wish will come true in the near future.	ang hiling mo ay magkakatotoo sa lalong madaling panahon.
We arrived a little late.	dumating kami nang medyo huli.
One day a friend of his who lived in Boston came to see him.	isang araw ay binisita siya ng kaibigan niya mula sa Boston.
Not now.	hindi ngayon.
So a week or two later, I asked him out... dinner at my place.	isang linggo o dalawa ay niyaya ko siya maghapunan sa aking bahay.
You have known them a long time.	matagal mo na silang kakilala.
Let's talk later.	magusap tayo mamaya.
You're actually late.	huli ka na talaga.
It is likely to be fine tomorrow.	malamang ay magiging maayos bukas.
How about we meet tomorrow?	kung magkita kayo tayo bukas?
